uda,hm3,cost
UDA25,2.93219478598324,9407814.28837834
UDA25,3.31021723022364,9995802.67162166
UDA25,3.71110271600084,10583791.0722522
UDA25,4.13489562679759,11171779.4554956
UDA25,4.58159596261387,11759767.8561261
UDA25,5.05120372344968,12347756.2393694
UDA25,5.54371890930503,12935744.64
UDA25,6.05914152017992,13523733.0406306
UDA25,6.59747155607434,14111721.4238739
UDA25,7.15870901698829,14699709.8245044
UDA25,7.74285390292178,15287698.2077478
UDA25,8.34990621387481,15875686.6083783
UDA25,8.97994362094213,16463674.9916217
UDA25,9.6328135559019,17051663.3922522
UDA25,10.3085909158812,17639651.7754956
UDA25,11.00727570088,18227640.1761261
UDA25,11.7288679108984,18815628.5593694
UDA25,12.4733675459363,19403616.96
UDA25,13.2407746059938,19991605.3606306
UDA25,14.0310890910707,20579593.7438739
UDA25,14.827034730518,21000695.369972
UDA25,15.6273771087223,21257356.969972
UDA25,16.4487184221892,21514018.569972
UDA25,17.2910586709185,21770680.169972
UDA25,17.32,21779386.4097606
UDA26,0,0
UDA26,0.021640014793815,537765.951969412
UDA26,0.086560059175261,1075531.89345364
UDA26,0.194760133144337,1613297.84542305
UDA26,0.291269344516481,2140582.99885457
UDA26,0.403432162088902,2667847.11901232
UDA26,0.531333172238643,3195111.23917006
UDA26,0.674972374965704,3722375.35932781
UDA26,0.834349770270085,4249639.47948555
UDA26,1.00946535815179,4776903.5996433
UDA26,1.20031913861081,5304167.71980104
UDA26,1.40691111164715,5831431.83995879
UDA26,1.62924127726081,6358695.96011653
UDA26,1.86730963545179,6885960.08027428
UDA26,2.1211161862201,7413224.20043202
UDA26,2.39066092956572,7940488.32058977
UDA26,2.67594386548866,8467752.44074751
UDA26,2.97696499398892,8995016.56090526
UDA26,3.2937243150665,9522280.681063
UDA26,3.62622182872141,10049544.8012207
UDA26,3.97445753495363,10576808.9213785
UDA26,4.33843143376317,11104073.0415362
UDA26,4.71814352515004,11631337.161694
UDA26,4.98218502754069,12154244.489785
UDA26,5.19880176786855,12675507.5631932
UDA26,5.4154185081964,13196770.6470866
UDA26,5.63203524852426,13718033.7204948
